id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,SLA xử lý ticket P1 đã thay đổi từ 6 giờ xuống 4 giờ trong phiên bản mới nhất [1].,"Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",5,Mọi thông tin trong câu trả lời đều có trong danh sách tài liệu được cung cấp.,5,"Câu trả lời đã nêu rõ sự thay đổi của SLA xử lý ticket P1 từ 6 giờ xuống 4 giờ, trực tiếp giải quyết câu hỏi.",5,Tìm thấy 1/1 nguồn kỳ vọng. Đầy đủ bằng chứng.,3,"Câu trả lời của AI chỉ đề cập đến sự thay đổi SLA mà không nêu rõ phiên bản hiện tại và phiên bản trước, thiếu thông tin quan trọng về thời gian có hiệu lực và không đề cập đến phiên bản trước đó.",baseline_dense
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?",Bạn có thể kết nối VPN trên tối đa 2 thiết bị cùng lúc [1].,"Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,"Mọi thông tin trong câu trả lời đều có trong danh sách tài liệu, cụ thể là thông tin về giới hạn số thiết bị kết nối VPN.",5,Câu trả lời trực tiếp và đầy đủ thông tin về số lượng thiết bị tối đa có thể kết nối VPN.,5,Tìm thấy 2/2 nguồn kỳ vọng. Đầy đủ bằng chứng.,2,"Câu trả lời của AI chỉ đề cập đến số lượng thiết bị kết nối mà không nêu rõ yêu cầu sử dụng VPN và phần mềm cụ thể, thiếu thông tin quan trọng.",baseline_dense
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,Đơn hàng đã áp dụng mã giảm giá đặc biệt theo chương trình khuyến mãi Flash Sale và sản phẩm đã được kích hoạt sẽ không được hoàn tiền [1].,Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,Mọi thông tin trong câu trả lời đều có trong danh sách tài liệu đã cung cấp.,5,Câu trả lời trả lời trực tiếp và đầy đủ câu hỏi về việc hoàn tiền cho đơn hàng trong chương trình Flash Sale.,5,Tìm thấy 1/1 nguồn kỳ vọng. Đầy đủ bằng chứng.,4,Câu trả lời của AI thiếu thông tin về việc cả hai ngoại lệ đều thuộc danh sách không được hoàn tiền theo Điều 3 của chính sách.,baseline_dense
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Nếu chọn nhận store credit, bạn sẽ được 110% so với số tiền gốc [1].","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,"Mọi thông tin trong câu trả lời đều có trong danh sách tài liệu, cụ thể là về việc nhận store credit với giá trị 110% so với số tiền hoàn.",5,Câu trả lời trực tiếp và đầy đủ thông tin về phần trăm store credit so với số tiền gốc.,5,Tìm thấy 1/1 nguồn kỳ vọng. Đầy đủ bằng chứng.,4,"Câu trả lời của AI thiếu thông tin rằng việc chọn nhận store credit là tùy chọn, không phải bắt buộc.",baseline_dense
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?","Có, contractor từ bên ngoài công ty có thể được cấp quyền Admin Access. Thời gian xử lý là 5 ngày làm việc và yêu cầu thêm là phải hoàn thành training bắt buộc về security policy [2].","Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",2,"Thông tin về việc contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không có trong danh sách tài liệu, và câu trả lời không hoàn toàn dựa trên thông tin đã cung cấp.",5,Câu trả lời đã trả lời đầy đủ và trực tiếp cả hai phần của câu hỏi về việc cấp quyền Admin Access cho contractor và thời gian cũng như yêu cầu đặc biệt cần thiết.,5,Tìm thấy 1/1 nguồn kỳ vọng. Đầy đủ bằng chứng.,4,Thiếu thông tin về việc cần phê duyệt từ IT Manager và CISO.,baseline_dense
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","Quy trình cấp quyền tạm thời cho engineer trong sự cố P1 như sau: On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động. Tất cả quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,Mọi thông tin trong câu trả lời đều có trong danh sách tài liệu đã cung cấp.,5,"Câu trả lời đã giải quyết đúng yêu cầu của câu hỏi, cung cấp quy trình cụ thể và thời gian tồn tại của quyền tạm thời.",5,Tìm thấy 2/2 nguồn kỳ vọng. Đầy đủ bằng chứng.,4,Thiếu thông tin về việc liên hệ on-call qua hotline và không đề cập đến SLA P1.,baseline_dense
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,Tôi không biết.,"Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",1,"Câu trả lời không có thông tin nào từ danh sách tài liệu, hoàn toàn không grounded.",1,Câu trả lời không cung cấp thông tin nào liên quan đến câu hỏi về mức phạt vi phạm cam kết SLA P1.,,Không có nguồn dữ liệu kỳ vọng để đối chiếu.,1,"Câu trả lời của AI không cung cấp bất kỳ thông tin nào liên quan đến mức phạt hay quy định trong tài liệu, hoàn toàn thiếu nội dung cốt lõi.",baseline_dense
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"Nhân viên phải báo trước ít nhất 3 ngày làm việc để xin nghỉ phép năm [2]. Số ngày cần giấy tờ khi nghỉ ốm là nếu nghỉ trên 3 ngày liên tiếp, cần giấy tờ y tế từ bệnh viện [1]. Do đó, con số này không giống nhau.",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,5,Mọi thông tin trong câu trả lời đều có trong danh sách tài liệu đã cung cấp.,5,"Câu trả lời đã giải quyết đúng yêu cầu của câu hỏi, cung cấp thông tin rõ ràng về số ngày báo trước khi xin nghỉ phép năm và so sánh với số ngày cần giấy tờ khi nghỉ ốm.",5,Tìm thấy 1/1 nguồn kỳ vọng. Đầy đủ bằng chứng.,4,"Câu trả lời của AI đã đề cập đến cả hai tình huống nghỉ phép năm và nghỉ ốm, nhưng thiếu thông tin rằng cả hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.",baseline_dense
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","Có, mật khẩu cần được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn [1].","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",5,Mọi thông tin trong câu trả lời đều có trong danh sách tài liệu đã cung cấp.,4,"Trả lời đúng về việc cần đổi mật khẩu và thời gian nhắc nhở, nhưng thiếu thông tin về cách thức đổi mật khẩu.",5,Tìm thấy 1/1 nguồn kỳ vọng. Đầy đủ bằng chứng.,4,Thiếu thông tin về cách đổi mật khẩu và liên hệ Helpdesk.,baseline_dense
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,Chính sách hoàn tiền hiện tại không áp dụng cho đơn hàng đặt trước ngày 01/02/2026. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3 [1].,Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,"Mọi thông tin trong câu trả lời đều có trong danh sách tài liệu, đặc biệt là về chính sách hoàn tiền áp dụng cho đơn hàng đặt trước ngày 01/02/2026.",5,Câu trả lời trả lời trực tiếp và đầy đủ câu hỏi về chính sách hoàn tiền áp dụng cho đơn hàng đặt trước ngày 01/02/2026.,5,Tìm thấy 1/1 nguồn kỳ vọng. Đầy đủ bằng chứng.,4,"Câu trả lời của AI thiếu thông tin về thời điểm có hiệu lực của chính sách hoàn tiền phiên bản 4, nhưng vẫn nêu rõ rằng đơn hàng đặt trước ngày 01/02/2026 sẽ áp dụng theo chính sách phiên bản 3.",baseline_dense
