id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ cho việc khắc phục sau phản hồi ban đầu trong 15 phút kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Mọi thông tin trong câu trả lời đều có trong danh sách tài liệu đã cung cấp.,5,"Câu trả lời cung cấp thông tin chính xác và đầy đủ về SLA xử lý ticket P1, bao gồm thời gian khắc phục và thời gian phản hồi ban đầu.",5,Tìm thấy 1/1 nguồn kỳ vọng. Đầy đủ bằng chứng.,5,"Câu trả lời của AI đã cung cấp đầy đủ thông tin về SLA phản hồi ban đầu và thời gian xử lý, đúng như trong câu trả lời mẫu.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,Mọi thông tin trong câu trả lời đều có trong danh sách tài liệu đã cung cấp.,5,Câu trả lời cung cấp thông tin chính xác và đầy đủ về thời gian khách hàng có thể yêu cầu hoàn tiền.,5,Tìm thấy 1/1 nguồn kỳ vọng. Đầy đủ bằng chứng.,5,"Câu trả lời của AI đã cung cấp đầy đủ thông tin như trong câu trả lời mẫu, không thiếu sót chi tiết nào.",baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"Mọi thông tin trong câu trả lời đều có trong danh sách tài liệu, cụ thể là yêu cầu phê duyệt cho Level 3.",5,"Câu trả lời đã nêu rõ các bên cần phê duyệt để cấp quyền Level 3, đáp ứng đầy đủ yêu cầu của câu hỏi.",5,Tìm thấy 1/1 nguồn kỳ vọng. Đầy đủ bằng chứng.,5,Câu trả lời của AI đã bao gồm đầy đủ tất cả các điểm quan trọng như trong câu trả lời mẫu.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",3,"Câu trả lời có thông tin về sản phẩm kỹ thuật số không được hoàn tiền, nhưng không đề cập đầy đủ các điều kiện hoàn tiền khác từ danh sách tài liệu.",4,Trả lời đúng về việc hoàn tiền sản phẩm kỹ thuật số nhưng thiếu thông tin chi tiết về các điều kiện cụ thể để được hoàn tiền.,5,Tìm thấy 1/1 nguồn kỳ vọng. Đầy đủ bằng chứng.,3,"Câu trả lời của AI thiếu thông tin về việc sản phẩm kỹ thuật số là ngoại lệ không được hoàn tiền theo chính sách hoàn tiền, và không nêu rõ rằng không có hoàn tiền cho các sản phẩm này.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Mọi thông tin trong câu trả lời đều có trong danh sách tài liệu được cung cấp.,5,Câu trả lời trả lời trực tiếp và đầy đủ câu hỏi về số lần đăng nhập sai trước khi tài khoản bị khóa.,5,Tìm thấy 1/1 nguồn kỳ vọng. Đầy đủ bằng chứng.,5,Câu trả lời của AI đầy đủ và chính xác như câu trả lời mẫu.,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau:

1. On-call engineer nhận alert hoặc ticket và xác nhận severity trong 5 phút.
2. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer.
3. Lead Engineer phân công engineer xử lý trong 10 phút.
4. Engineer cập nhật tiến độ lên ticket mỗi 30 phút và nếu cần hỗ trợ thêm, sẽ escalate ngay.

Quy trình này đảm bảo rằng sự cố P1 được xử lý kịp thời và hiệu quả [2][3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"Mọi thông tin trong câu trả lời đều có trong các chunk đã cung cấp, bao gồm quy trình escalation và thời gian phản hồi cho sự cố P1.",5,"Câu trả lời mô tả chi tiết quy trình escalation trong sự cố P1, đáp ứng đầy đủ yêu cầu của câu hỏi.",5,Tìm thấy 1/1 nguồn kỳ vọng. Đầy đủ bằng chứng.,5,"Câu trả lời của AI đã bao gồm đầy đủ các bước trong quy trình escalation cho sự cố P1, bao gồm cả thời gian phản hồi và các bước tiếp theo, đảm bảo tính chính xác và đầy đủ thông tin.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu có tên ""Approval Matrix for System Access"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,Mọi thông tin trong câu trả lời đều có trong danh sách tài liệu đã cung cấp.,5,Câu trả lời đã trả lời trực tiếp và đầy đủ câu hỏi về tài liệu Approval Matrix để cấp quyền hệ thống.,5,Tìm thấy 1/1 nguồn kỳ vọng. Đầy đủ bằng chứng.,2,"Câu trả lời của AI chỉ đề cập đến tên tài liệu hiện tại mà không cung cấp thông tin về tên mới của tài liệu, thiếu nhiều thông tin quan trọng.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Mọi thông tin trong câu trả lời đều có trong danh sách tài liệu đã cung cấp.,5,Câu trả lời đã trả lời trực tiếp và đầy đủ câu hỏi về số ngày làm remote tối đa trong tuần.,5,Tìm thấy 1/1 nguồn kỳ vọng. Đầy đủ bằng chứng.,4,Thiếu thông tin về việc cần có sự phê duyệt của Team Lead.,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,ERR-403-AUTH là lỗi liên quan đến việc không có quyền truy cập. Cách xử lý là tạo yêu cầu cấp quyền thông qua ticket trên Jira và thực hiện quy trình phê duyệt theo các bước đã được quy định [1].,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"Mọi thông tin trong câu trả lời đều có trong danh sách tài liệu đã cung cấp, bao gồm quy trình tạo yêu cầu cấp quyền và phê duyệt trên Jira.",5,"Câu trả lời giải thích rõ ràng về lỗi ERR-403-AUTH và cung cấp cách xử lý cụ thể, đầy đủ thông tin cần thiết.",,Không có nguồn dữ liệu kỳ vọng để đối chiếu.,3,Câu trả lời của AI thiếu thông tin về việc không tìm thấy thông tin trong tài liệu hiện có và không đề cập đến việc liên hệ IT Helpdesk.,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin nào trong bối cảnh đề cập đến quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,Câu trả lời không có thông tin nào từ danh sách tài liệu và hoàn toàn không liên quan đến nội dung đã cung cấp.,1,"Câu trả lời không cung cấp thông tin nào liên quan đến quy trình hoàn tiền khẩn cấp cho khách hàng VIP, không giải quyết được câu hỏi.",5,Tìm thấy 1/1 nguồn kỳ vọng. Đầy đủ bằng chứng.,2,"Câu trả lời của AI không cung cấp thông tin về quy trình hoàn tiền tiêu chuẩn và chỉ nêu rằng không có thông tin về quy trình cho khách hàng VIP, thiếu nhiều thông tin quan trọng.",baseline_dense
